id,pergunta,resposta,versiculo
1,A quem o autor escreveu o livro de Atos?,O destinatário do livro é Teófilo,Atos 1:1
2,"Quantos dias Jesus apareceu aos discípulos após a ressurreição, dando provas de que estava vivo?",Jesus apareceu aos discípulos por 40 dias,Atos 1:3
3,O que Jesus ordenou aos discípulos que não deixassem antes de serem revestidos com poder do alto?,Que não se ausentassem de Jerusalém,Atos 1:4
4,"Segundo Jesus, o que os discípulos receberiam ao descer sobre eles o Espírito Santo?","Mas recebereis o poder do Espírito Santo, que há de vir sobre vós",Atos 1:8
5,Quais regiões Jesus mencionou como lugares onde os discípulos seriam suas testemunhas?,"Tanto em Jerusalém como em toda a Judeia e Samaria, e até aos confins da terra",Atos 1:8
6,Como Jesus foi elevado ao céu diante dos discípulos?,"Foi elevado às alturas, e uma nuvem o recebeu, ocultando-o a seus olhos",Atos 1:9
7,Quem apareceu logo após a ascensão de Jesus para falar com os discípulos?,Eis que junto deles se puseram dois homens vestidos de branco,Atos 1:10
8,O que os anjos disseram aos discípulos sobre a volta de Jesus?,Esse Jesus que dentre vós foi assunto ao céu virá do modo como o vistes subir,Atos 1:11
9,De onde os discípulos voltaram para Jerusalém após a ascensão?,"Então voltaram para Jerusalém, do monte chamado das Oliveiras",Atos 1:12
10,Onde os discípulos permaneceram em oração ao voltarem para Jerusalém?,"E, entrando, subiram ao cenáculo",Atos 1:13
11,Quais os nomes dos apóstolos mencionados no versículo 13?,"Pedro e Tiago, João e André, Filipe e Tomé, Bartolomeu e Mateus, Tiago, filho de Alfeu, Simão, o Zelote, e Judas, irmão de Tiago",Atos 1:13
12,Quantas pessoas aproximadamente estavam reunidas no cenáculo com os discípulos - antes da descida do Espírito Santo?,Ora a multidão junta era de quase cento e vinte pessoas,Atos 1:15
13,Quem tomou a palavra para falar sobre a necessidade de substituir Judas?,Levantando-se Pedro no meio dos discípulos,Atos 1:15
14,"Como Judas morreu, segundo o relato de Pedro?","Precipitando-se, rebentou pelo meio, e todas as suas entranhas se derramaram",Atos 1:18
15,Que nome foi dado ao campo comprado com o dinheiro de Judas?,"De maneira que na sua própria língua esse campo se chama Aceldama, isto é, Campo de Sangue",Atos 1:19
16,Qual foi o critério estabelecido para escolher o substituto de Judas?,"Dos homens que conviveram conosco todo o tempo em que o Senhor Jesus entrou e saiu dentre nós, começando desde o batismo de João até ao dia em que de entre nós foi recebido em cima","Atos 1:21,22"
17,Quais dois nomes foram indicados para substituição de Judas?,"José, chamado Barsabás, que tinha por sobrenome o Justo, e Matias",Atos 1:23
18,O que os discípulos fizeram antes de escolher o novo apóstolo?,Oraram pedindo direção ao Senhor,Atos 1:24
19,Como foi feita a escolha entre os dois indicados para ocupar o lugar de Judas?,"E, lançando-lhes sortes",Atos 1:26
20,Quem foi escolhido como apóstolo no lugar de Judas?,Caiu a sorte sobre Matias,Atos 1:26
21,Que evento sobrenatural aconteceu no dia de Pentecostes?,Todos ficaram cheios do Espírito Santo e começaram a falar em outras línguas conforme o Espírito os capacitava.,Atos 2:1-4
22,Como as pessoas reagiram ao ouvirem os discípulos falando em outras línguas?,Ficaram perplexas e admiradas - pois cada um os ouvia falar na sua própria língua.,Atos 2:6-8
23,Que acusações alguns fizeram sobre os discípulos durante a descida do Espírito Santo?,Alguns zombaram e disseram que eles estavam bêbados.,Atos 2:13
24,Como Pedro respondeu à acusação de embriaguez?,Disse que eles não estavam bêbados - pois era apenas a terceira hora do dia (9h da manhã).,Atos 2:15
25,a profecia de qual profeta Pedro citou para explicar o que estava acontecendo - durante a descida do Espíto Santo no capítulo 2?,Citou a profecia de Joel sobre a vinda do Espírito Santo.,Atos 2:16-21
26,Como Jesus foi aprovado por Deus segundo o discurso de Pedro no capítulo 2 de atos?,Disse que Jesus foi aprovado por Deus com milagres...,Atos 2:22-33
27,Pedro faz uma citação - durante sua fala no capítulo 2 - para provar a ressurreição de Jesus - em qual livro da bíblia ela se encontra?,No livro de Salmos,Atos 2:25-28
